Date,Ticker,Sector,HighGravity,OscCompression,TunnelProb>80%,Signal
2000-06-01,PETS,Healthcare,True,True,True,Entry
2000-06-07,PETS,Healthcare,True,True,True,Entry
2001-03-20,PETS,Healthcare,True,True,True,Entry
2001-04-05,PETS,Healthcare,True,True,True,Entry
2001-04-06,PETS,Healthcare,True,True,True,Entry
2001-04-09,PETS,Healthcare,True,True,True,Entry
2001-04-10,PETS,Healthcare,True,True,True,Exit
2001-04-11,PETS,Healthcare,True,True,True,Entry
2001-10-11,PETS,Healthcare,True,True,True,Entry
2001-10-25,PETS,Healthcare,True,True,True,Entry
2001-11-02,SGMO,Healthcare,True,True,True,Entry
2001-11-02,PETS,Healthcare,True,True,True,Entry
2001-11-06,SGMO,Healthcare,True,True,True,Entry
2001-11-06,PETS,Healthcare,True,True,True,Entry
2001-11-08,PETS,Healthcare,True,True,True,Entry
2001-11-12,PETS,Healthcare,True,True,True,Exit
2001-12-19,PETS,Healthcare,True,True,True,Entry
2001-12-21,PETS,Healthcare,True,True,True,Entry
2001-12-26,SGMO,Healthcare,True,True,True,Entry
2001-12-26,PETS,Healthcare,True,True,True,Entry
2002-01-03,PETS,Healthcare,True,True,True,Entry
2002-01-09,PETS,Healthcare,True,True,True,Exit
2002-03-14,SGMO,Healthcare,True,True,True,Entry
2002-03-14,PETS,Healthcare,True,True,True,Entry
2002-05-17,SGMO,Healthcare,True,True,True,Entry
2002-05-17,PETS,Healthcare,True,True,True,Entry
2002-05-31,SGMO,Healthcare,True,True,True,Entry
2002-05-31,PETS,Healthcare,True,True,True,Entry
2002-06-10,PETS,Healthcare,True,True,True,Entry
2002-06-12,PETS,Healthcare,True,True,True,Exit
2002-06-17,PETS,Healthcare,True,True,True,Entry
2002-06-18,SGMO,Healthcare,True,True,True,Exit
2002-06-18,PETS,Healthcare,True,True,True,Entry
2002-06-21,PETS,Healthcare,True,True,True,Entry
2002-06-25,PETS,Healthcare,True,True,True,Entry
2002-06-26,PETS,Healthcare,True,True,True,Entry
2002-07-01,PETS,Healthcare,True,True,True,Exit
2002-07-05,SGMO,Healthcare,True,True,True,Entry
2002-07-05,PETS,Healthcare,True,True,True,Entry
2002-07-08,SGMO,Healthcare,True,True,True,Entry
2002-07-08,PETS,Healthcare,True,True,True,Exit
2002-07-12,PETS,Healthcare,True,True,True,Entry
2004-01-14,PETS,Healthcare,True,True,True,Entry
